id,title,runtime,original_language,overview,popularity,tagline,genres,spoken_languages,keywords,directors,writers,averageRating,numVotes,cast,sex_nudity_summary,sex_nudity_score,year,NLP_nudity_score,Sexual_Nudity_Category,sex_nudity_summary_cleaned
13,Forrest Gump,142,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",92.693,The world will never be the same once you've seen it through the eyes of Forrest Gump.,"Comedy, Drama, Romance",English,"vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, china, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good",Robert Zemeckis,"Winston Groom, Eric Roth",8.8,2343024,"Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys, Hanna Hall, Haley Joel Osment, Siobhan Fallon Hogan, Rebecca Williams",Mild.  Forrest's bare buttocks are shown for a few seconds when he is running across the country. Jenny appears topless in a nightclub and is involved in anti-war protests where some nudity is present. Some sexual references and innuendo.,2.0,1994,6,Moderate,Forrest's bare buttocks are shown for a few seconds when he is running across the country. Jenny appears topless in a nightclub and is involved in anti-war protests where some nudity is present. Some sexual references and innuendo.
671,Harry Potter and the Philosopher's Stone,152,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",185.482,Let the magic begin.,"Adventure, Fantasy",English,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, shopping, fantasy world, wizard, christmas, based on young adult novel, owl, wizarding world",Chris Columbus,"J.K. Rowling, Steve Kloves",7.7,891829,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Tom Felton, Alan Rickman, Robbie Coltrane, Maggie Smith, Richard Griffiths, Ian Hart",None.  There is no sexual content or nudity.,1.0,2001,0,None,There is no sexual content or nudity.
1726,Iron Man,126,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",72.897,Heroes aren't born. They're built.,"Action, Science Fiction, Adventure","English, Persian, Urdu, Arabic","middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum, Matt Holloway, Stan Lee, Don Heck, Larry Lieber, Jack Kirby",7.9,1157248,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb, Shaun Toub, Faran Tahir, Clark Gregg, Bill Smitrovich, Sayed Badreya","Mild.  Tony Stark is a womanizer and is seen with many women throughout the film.  He is shown shirtless in a few scenes.  There are some suggestive comments and innuendo.  A brief scene shows him waking up in bed with a woman (no nudity).  A woman changes clothes in the background, but nothing explicit is shown.",2.0,2008,1,None,"Tony Stark is a womanizer and is seen with many women throughout the film.  He is shown shirtless in a few scenes.  There are some suggestive comments and innuendo.  A brief scene shows him waking up in bed with a woman (no nudity).  A woman changes clothes in the background, but nothing explicit is shown."
68718,Django Unchained,165,en,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",54.224,"Life, liberty and the pursuit of vengeance.","Drama, Western","English, French, German","rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi",Quentin Tarantino,Quentin Tarantino,8.5,1759429,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier","** Moderate.  Female backside nudity is shown in a couple of scenes.  There are scenes of implied sexual situations and references to sexual acts, including rape.  A female character is forced to be naked in front of other characters.",,2012,9,Severe,"Female backside nudity is shown in a couple of scenes.  There are scenes of implied sexual situations and references to sexual acts, including rape.  A female character is forced to be naked in front of other characters."
299534,Avengers: Endgame,181,en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",91.756,Avenge the fallen.,"Adventure, Science Fiction, Action","English, Japanese, Xhosa","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee, Jack Kirby, Joe Simon, Steve Englehart, Steve Gan, Bill Mantlo, Keith Giffen, Jim Starlin, Larry Lieber, Don Heck",8.4,1327832,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Josh Brolin, Don Cheadle, Paul Rudd, Benedict Cumberbatch","None.  A character makes a brief, jokey reference to a woman's chest.",1.0,2019,0,None,"A character makes a brief, jokey reference to a woman's chest."
603,The Matrix,136,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",78.564,Welcome to the Real World.,"Action, Science Fiction",English,"man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, woman director, messiah, action hero, gnosticism, complex","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski",8.7,2124672,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory","Mild.  Switch mentions prostitutes.  Trinity wears tight clothing.  Neo is seen naked briefly when he is first ""born"" into the real world.",2.0,1999,3,Mild,"Switch mentions prostitutes.  Trinity wears tight clothing.  Neo is seen naked briefly when he is first ""born"" into the real world."
597,Titanic,194,en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",102.348,Nothing on Earth could come between them.,"Drama, Romance","English, French, German, Swedish, Italian, Russian","epic, ship, drowning, panic, shipwreck, evacuation, iceberg, titanic, forbidden love, ocean liner, based on true story, rich woman poor man, love, tragedy, tragic love, disaster, historical fiction, class differences, love affair, historical event, lifeboat, star crossed lovers, sinking ship, steerage, rich snob, disaster movie, 1910s, sunken ship, absurd, sinister, romantic, tragic",James Cameron,James Cameron,7.9,1322770,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Victor Garber, Bill Paxton, Bernard Hill, David Warner",Rose is shown nude while Jack draws her.  Her bare breasts and buttocks are visible.  There are implied sex scenes and some passionate kissing.  Sexual innuendo is present.,4.0,1997,10,Severe,Rose is shown nude while Jack draws her.  Her bare breasts and buttocks are visible.  There are implied sex scenes and some passionate kissing.  Sexual innuendo is present.
475557,Joker,122,en,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",54.522,Put on a happy face.,"Crime, Thriller, Drama",English,"dream, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, falling into madness, depressing",Todd Phillips,"Todd Phillips, Scott Silver, Bob Kane, Bill Finger, Jerry Robinson",8.3,1579540,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais",Moderate. A man dances shirtless in his apartment. A woman is shown in her bra and underwear. A man and a woman kiss passionately. Sexual references are made.,3.0,2019,4,Mild,A man dances shirtless in his apartment. A woman is shown in her bra and underwear. A man and a woman kiss passionately. Sexual references are made.
120,The Lord of the Rings: The Fellowship of the Ring,179,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",87.037,One ring to rule them all,"Adventure, Fantasy, Action",English,"based on novel or book, orcs, elves, dwarf, magic, loss of loved one, river, fireworks, mine, maze, mountain, new zealand, castle, volcano, birthday party, addiction, uncle, fugitive, battle, death, blizzard, wizard, journey, ring, live action and animation, sword and sorcery, nz",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson",8.9,2078769,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Ian Holm, Liv Tyler, Christopher Lee, Sean Bean, Billy Boyd, Dominic Monaghan","None.  There are some scenes of implied romance, but nothing explicit.  One character briefly appears shirtless.",1.0,2001,0,None,"There are some scenes of implied romance, but nothing explicit.  One character briefly appears shirtless."
122,The Lord of the Rings: The Return of the King,201,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",99.276,The eye of the enemy is moving.,"Adventure, Fantasy, Action",English,"based on novel or book, orcs, elves, dwarf, bravery, suspicion, volcano, addiction, honor, royalty, troll, brutality, ghost, wizard, quest, live action and animation, sword and sorcery",Peter Jackson,"J.R.R. Tolkien, Fran Walsh, Philippa Boyens, Peter Jackson",9.0,2049530,"Elijah Wood, Ian McKellen, Viggo Mortensen, Sean Astin, Andy Serkis, Dominic Monaghan, Billy Boyd, John Noble, David Wenham, Miranda Otto","None.  There are some scenes of implied romance, such as Aragorn and Arwen's reunion, and Faramir and Eowyn's budding relationship, but nothing explicit is shown.  One user commented that there is ""some kissing.""",1.0,2003,0,None,"There are some scenes of implied romance, such as Aragorn and Arwen's reunion, and Faramir and Eowyn's budding relationship, but nothing explicit is shown.  One user commented that there is ""some kissing."""
11324,Shutter Island,138,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",56.595,Some places never let you go.,"Drama, Thriller, Mystery","English, German","island, based on novel or book, hurricane, investigation, u.s. marshal, conspiracy theory, psychiatric hospital, psychological thriller, whodunit, neo-noir, 1950s",Martin Scorsese,"Laeta Kalogridis, Dennis Lehane",8.2,1521142,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch","Mild.  A man has disturbing visions/dreams of his dead wife, who appears naked and covered in ash.  A few other women are seen briefly in their underwear. Some sexual innuendo.",2.0,2010,4,Mild,"A man has disturbing visions/dreams of his dead wife, who appears naked and covered in ash.  A few other women are seen briefly in their underwear. Some sexual innuendo."
106646,The Wolf of Wall Street,180,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",97.444,Earn. Spend. Party.,"Crime, Drama, Comedy","English, French","corruption, drug addiction, anti hero, con man, fraud, wall street, based on true story, rise and fall, con artist, money, stockbroker, wealthy, drugs, stripping, hedonism, decadence, corrupt, 1980s, sharemarket fraud, financial market, black monday, joyful",Martin Scorsese,"Terence Winter, Jordan Belfort",8.2,1653293,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley","** Severe. Strong sexual content including graphic nudity, depictions of orgies, and explicit dialogue.  Frequent scenes of drug use and excessive partying accompany the sexual content.",,2013,5,Moderate,"Strong sexual content including graphic nudity, depictions of orgies, and explicit dialogue.  Frequent scenes of drug use and excessive partying accompany the sexual content."
99861,Avengers: Age of Ultron,141,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",96.565,A new age has come.,"Action, Adventure, Science Fiction",English,"artificial intelligence (a.i.), superhero, based on comic, sequel, superhero team, duringcreditsstinger, marvel cinematic universe (mcu), fictitious country, evil robot",Joss Whedon,"Joss Whedon, Stan Lee, Jack Kirby, Joe Simon, Jim Starlin",7.3,947796,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, James Spader, Samuel L. Jackson, Don Cheadle, Aaron Taylor-Johnson","Mild.  A man and woman kiss passionately. A woman wears tight-fitting outfits that reveal her cleavage. A man is shirtless in one scene, showing his bare chest and back. Some innuendo and flirting.",2.0,2015,2,Mild,"A man and woman kiss passionately. A woman wears tight-fitting outfits that reveal her cleavage. A man is shirtless in one scene, showing his bare chest and back. Some innuendo and flirting."
271110,Captain America: Civil War,147,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",70.741,United we stand. Divided we fall.,"Adventure, Action, Science Fiction","Romanian, English, German, Russian","civil war, superhero, based on comic, sequel, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), excited","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon, Jack Kirby",7.8,876587,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Don Cheadle, Jeremy Renner, Chadwick Boseman, Paul Bettany, Elizabeth Olsen",Mild.  A man and woman kiss briefly.  A woman wears a low-cut dress that reveals cleavage.,2.0,2016,1,None,A man and woman kiss briefly.  A woman wears a low-cut dress that reveals cleavage.
49026,The Dark Knight Rises,165,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",76.914,The Legend Ends,"Action, Crime, Drama, Thriller",English,"fight, burglar, hostage, secret identity, crime fighter, superhero, villainess, time bomb, based on comic, cover-up, vigilante, tragic hero, mobile, terrorism, destruction, fighting, criminal underworld, cat burglar, flood",Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer, Bob Kane",8.4,1888149,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt, Anne Hathaway, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Aboutboul",Mild.  Some mild sensuality and innuendo.  A woman is shown in her underwear briefly.  A man and woman kiss passionately.,2.0,2012,2,Mild,Some mild sensuality and innuendo.  A woman is shown in her underwear briefly.  A man and woman kiss passionately.
68721,Iron Man 3,130,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",61.06,Unleash the power behind the armor.,"Action, Adventure, Science Fiction",English,"california, war on terror, superhero, malibu, based on comic, tennessee, billionaire, aftercreditsstinger, marvel cinematic universe (mcu), christmas, america",Shane Black,"Drew Pearce, Shane Black, Stan Lee, Don Heck, Larry Lieber, Jack Kirby, Warren Ellis, Adi Granov",7.1,921525,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall, Jon Favreau, Ben Kingsley, James Badge Dale, Stephanie Szostak, Paul Bettany",Mild.  A man and woman kiss passionately. A woman wears low-cut tops that reveal cleavage.  A few suggestive remarks.,2.0,2013,1,None,A man and woman kiss passionately. A woman wears low-cut tops that reveal cleavage.  A few suggestive remarks.
284054,Black Panther,135,en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",43.665,Long live the king.,"Action, Adventure, Science Fiction","English, Korean, Swahili, Xhosa","africa, superhero, based on comic, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)",Ryan Coogler,"Ryan Coogler, Joe Robert Cole, Stan Lee, Jack Kirby",7.3,861730,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett",Mild.  A few scenes show characters kissing briefly.  Some characters wear revealing outfits.,2.0,2018,2,Mild,A few scenes show characters kissing briefly.  Some characters wear revealing outfits.
